Ticker,Description,Last,Change,%,Change,Rating,Volume,Market,Capitalization,Price,to,Earnings,Ratio,(TTM),Basic,EPS,(TTM),Number,of,Employees,Sector
CDW,CDW,Corporation,195.03,-1.495025,-2.96,Buy,2949881,26815740648.0664,29.84670461,6.633,10000,Technology,Services,,,,,,,,
CDXC,ChromaDex,Corporation,6.16,-19.58224543,-1.5,Sell,6558266,420090602.542729,,-0.3638,110,Process,Industries,,,,,,,,
CDXS,"Codexis, Inc.",24.77,-7.78108712,-2.09,Buy,962112,1601150926.63596,,-0.3752,181,Process,Industries,,,,,,,,,
CDZI,"Cadiz, Inc.",8.7,-15.45189504,-1.59,Strong,Sell,4598246,359233656.99536,,-0.8017,10,Utilities,,,,,,,,,
CE,Celanese,Corporation,Celanese,Corporation,153.86,0.42425429,0.65,Neutral,2805827,17096222208.3065,6.92756876,21.9396,7658,Process,Industries,,,,,,
CEI,"Camber Energy, Inc.",1.7691,16.38815789,0.2491,Buy,934733817,184331898.757683,,,,Energy,Minerals,,,,,,,,,
CEIX,CONSOL,Energy,Inc.,25.62,-7.64239366,-2.12,Buy,1547616,883382153.4908,24.54604111,1.1155,1494,Energy,Minerals,,,,,,,
CELH,"Celsius Holdings, Inc.",96.2381,5.23575724,4.7881,Strong,Buy,3587650,7168035870.964,630.37447989,0.1528,154,Consumer,Non-Durables,,,,,,,,
CELU,Celularity,Inc.,6.344,-4.88755622,-0.326,Strong,Sell,455102,783256343.753165,,-0.5051,4,Commercial,Services,,,,,,,
CEMI,"Chembio Diagnostics, Inc.",2.6601,-1.47777778,-0.0399,Sell,6634570,76139514.3567816,,-1.3013,355,Health,Technology,,,,,,,,,
CENX,Century,Aluminum,Company,13.04,1.63678878,0.21,Buy,6688165,1175283759.22714,,-2.9894,2078,Non-Energy,Minerals,,,,,,,
CEQP,Crestwood,Equity,Partners,LP,28.575,4.47897623,1.225,Buy,1161025,1797423145.62809,,-2.105,731,Industrial,Services,,,,,,
CERE,"Cerevel Therapeutics Holdings, Inc.",35.66,-3.09782609,-1.14,Buy,2022693,5166056818.60124,,-1.2375,104,Health,Technology,,,,,,,,,
CERN,Cerner,Corporation,73.99,-0.61786434,-0.46,Sell,7520549,21870395473.0874,32.53989129,2.3024,26400,Technology,Services,,,,,,,,
CERS,Cerus,Corporation,6.25,0.64412238,0.04,Buy,2539960,1072667513.12601,,-0.3639,270,Health,Technology,,,,,,,,
CERT,"Certara, Inc.",35.685,2.07379863,0.725,Buy,4327057,5615567254.58333,,,300,Technology,Services,,,,,,,,,
CETX,Cemtrex,Inc.,1.17,-1.68067227,-0.02,Strong,Sell,852160,24315166,,-0.1514,294,Electronic,Technology,,,,,,,
CEVA,"CEVA, Inc.",45.99,2.01863354,0.91,Neutral,410780,1055221757.37788,,-0.152,404,Electronic,Technology,,,,,,,,,
CF,"CF Industries Holdings, Inc.",49.66,8.8080631,4.02,Buy,10641900,10681864484.7754,22.97149903,2.1189,3000,Process,Industries,,,,,,,,,
CFFN,"Capitol Federal Financial, Inc.",10.73,-2.5431426,-0.28,Strong,Sell,1291146,1489680128.00646,19.44344704,0.5571,793,Finance,,,,,,,,,
CFG,"Citizens Financial Group, Inc.",44.025,2.74212369,1.175,Buy,13844759,18758311856.3735,9.76600875,4.4965,17584,Finance,,,,,,,,,,
CFMS,"Conformis, Inc.",1.81,16.77419355,0.26,Strong,Buy,17039109,336589740.793103,,-0.0431,259,Health,Technology,,,,,,,,
CFR,"Cullen/Frost Bankers, Inc.",112.7,1.62308386,1.8,Buy,813172,7173339067.68754,17.52662134,6.4819,4685,Finance,,,,,,,,,,
CFRX,ContraFect,Corporation,3.99,1.01265823,0.04,Sell,292680,156937560.438287,,-0.423,33,Health,Technology,,,,,,,,
CFV,CF,Acquisition,Corp.,V,9.86,-0.3033367,-0.03,Buy,29118,314041006.98583,,,3,Finance,,,,,,,
CFX,Colfax,Corporation,47.04,1.59827214,0.74,Buy,3761170,7003605343.07667,65.36343612,0.776,15400,Producer,Manufacturing,,,,,,,,
CG,The,Carlyle,Group,Inc.,50.68,3.83118213,1.87,Buy,7022297,17964142503.0471,6.98809507,7.3718,1825,Finance,,,,,,,
CGBD,"TCG BDC, Inc.",13.66,-0.50983248,-0.07,Neutral,833003,738641140.703569,5.66395776,2.6546,,Finance,,,,,,,,,,
CGEM,"Cullinan Oncology, Inc.",28.59,-0.55652174,-0.16,Neutral,856691,1244842326.34138,,-2.0523,24,Health,Technology,,,,,,,,,
CGEN,Compugen,Ltd.,6.1334,-2.64444444,-0.1666,Sell,2046770,514886239.965383,,-0.428,68,Health,Technology,,,,,,,,
CGNT,Cognyte,Software,Ltd.,27.83,3.30363771,0.89,Strong,Buy,1257489,1836600635.14765,,,2021,Technology,Services,,,,,,
CGNX,Cognex,Corporation,90.805,3.93155545,3.435,Strong,Buy,2221971,16045892676.5391,52.88862768,1.7344,2055,Electronic,Technology,,,,,,,
CGRN,Capstone,Green,Energy,Corporation,4.5776,1.72444444,0.0776,Sell,252177,69257184.7356444,,-1.6201,123,Producer,Manufacturing,,,,,,
CHCI,"Comstock Holding Companies, Inc.",4.92,-6.99432892,-0.37,Sell,103398,40932830.0551181,3.60283688,1.5468,147,Consumer,Durables,,,,,,,,,
CHD,"Church & Dwight Company, Inc.",83.475,0.92491839,0.765,Sell,4174697,20496718796.6297,26.10880489,3.2691,5100,Consumer,Non-Durables,,,,,,,,,
CHDN,"Churchill Downs, Incorporated",224.5,3.05728975,6.66,Strong,Buy,904145,8647750571.55266,42.52998066,5.2496,7000,Consumer,Services,,,,,,,,
CHEF,"The Chefs' Warehouse, Inc.",28.91,5.43398979,1.49,Neutral,1178970,1097382026.48909,,-1.7988,2221,Distribution,Services,,,,,,,,,
CHEK,Check-Cap,Ltd.,1.005,-2.42718447,-0.025,Sell,2288690,96885643.125,,-0.2797,65,Health,Technology,,,,,,,,
CHGG,"Chegg, Inc.",74.3,-5.39852305,-4.24,Sell,7272516,10749560419.7572,,-0.3486,1941,Commercial,Services,,,,,,,,,
CHH,"Choice Hotels International, Inc.",123.41,3.47111596,4.14,Strong,Buy,716634,6865382734.52208,52.12825239,2.3494,1498,Consumer,Services,,,,,,,,
CHK,Chesapeake,Energy,Corporation,61.82,3.82935841,2.28,Strong,Buy,7574721,6075718531.8355,,-65.1983,1300,Energy,Minerals,,,,,,
CHKP,Check,Point,Software,Technologies,Ltd.,117.485,-3.00115588,-3.635,Sell,3323835,15601798453.2622,19.32423545,6.152,5198,Technology,Services,,,,,
CHMI,Cherry,Hill,Mortgage,Investment,Corporation,9.115,1.27777778,0.115,Sell,803481,158352672,20.11532491,0.4528,4,Finance,,,,,,
CHNG,Change,Healthcare,Inc.,21.525,-1.12540193,-0.245,Sell,3478089,6691299775.76299,,,15000,Technology,Services,,,,,,,
CHNR,"China Natural Resources, Inc.",1.35,9.75609756,0.12,Sell,252089,51229909.488189,9.56325301,0.1328,10,Distribution,Services,,,,,,,,,
CHPT,"ChargePoint Holdings, Inc.",20.54,-0.67698259,-0.14,Sell,37336281,6626251333.68753,,-8.6979,734,Retail,Trade,,,,,,,,,
CHRS,"Coherus BioSciences, Inc.",15.705,2.04678363,0.315,Buy,2387153,1201120726.4088,,-2.246,317,Health,Technology,,,,,,,,,
CHRW,"C.H. Robinson Worldwide, Inc.",90.59,2.47737557,2.19,Sell,4274993,11931766848.5157,18.94167293,4.8359,14888,Transportation,,,,,,,,,,
CHS,"Chico's FAS, Inc.",4.705,1.83982684,0.085,Sell,4940633,576203026.921166,,-1.016,12500,Retail,Trade,,,,,,,,,
CHTR,"Charter Communications, Inc.",765.41,-2.75815632,-21.71,Buy,3711114,140699356624.79,40.66168226,20.0437,96100,Consumer,Services,,,,,,,,,
CHUY,"Chuy's Holdings, Inc.",30.72,0.88669951,0.27,Sell,348852,614311631.476017,26.66255071,1.1479,6100,Consumer,Services,,,,,,,,,
CHWY,"Chewy, Inc.",74.64,-0.4667289,-0.35,Sell,8664318,31181852754.5646,3776.92307692,0.0238,18500,Retail,Trade,,,,,,,,,
CHX,ChampionX,Corporation,23.06,3.82710491,0.85,Buy,4074538,4653558251.54239,398.47198642,0.062,6600,Process,Industries,,,,,,,,
CI,Cigna,Corporation,205.245,0.27114173,0.555,Sell,9033972,69805373475.8084,9.08467242,22.8464,73700,Health,Services,,,,,,,,
CIA,"Citizens, Inc.",5.64,-1.91304348,-0.11,Sell,335880,279764334.673684,,-0.0984,245,Finance,,,,,,,,,,
CIDM,Cinedigm,Corp,2.27,9.13461538,0.19,Strong,Buy,39035201,381207835.672566,,-0.5562,72,Consumer,Services,,,,,,,
CIEN,Ciena,Corporation,53.87,-0.07419774,-0.04,Neutral,4384163,8346036129.13825,18.11886901,2.9752,7032,Electronic,Technology,,,,,,,,
CIFR,Cipher,Mining,Inc.,13.835,4.81060606,0.635,Buy,718661,3418055946.30586,,-0.0441,,Finance,,,,,,,,
CIM,Chimera,Investment,Corporation,15.32,2.95698925,0.44,Buy,4831095,3577089589,5.04475725,3.2906,41,Finance,,,,,,,,
CINF,Cincinnati,Financial,Corporation,117.97,0.502641,0.59,Neutral,1457720,19014744098.0931,6.72488189,17.7428,5266,Finance,,,,,,,,
CIO,"City Office REIT, Inc.",17.04,0.41249263,0.07,Buy,2045840,729535776,15.93568642,1.0672,20,Finance,,,,,,,,,,
CIR,"CIRCOR International, Inc.",32.07,-1.62576687,-0.53,Sell,169672,649505034.421992,,-4.6616,3138,Producer,Manufacturing,,,,,,,,,
CIT,CIT,Group,Inc,(DEL),50.74,-4.37240859,-2.32,Neutral,1622849,5030576959.51293,8.53311934,6.0164,4500,Finance,,,,,,,
CJJD,"China Jo-Jo Drugstores, Inc.",0.652,-6.85714286,-0.048,Strong,Sell,1203602,27222167.0310825,,-0.2007,1047,Retail,Trade,,,,,,,,
CKPT,"Checkpoint Therapeutics, Inc.",3.255,2.35849057,0.075,Buy,1784156,269324808.515773,,-0.4483,10,Health,Technology,,,,,,,,,
CL,Colgate-Palmolive,Company,76.89,-0.19470405,-0.15,Sell,12421073,64857751382.7929,24.19466032,3.204,34200,Consumer,Non-Durables,,,,,,,,
CLAR,Clarus,Corporation,27.2,-0.87463557,-0.24,Buy,330385,919361441.808239,56.54504226,0.5067,600,Consumer,Durables,,,,,,,,
CLB,Core,Laboratories,N.V.,27.39,-1.54565061,-0.43,Sell,1710379,1269010688.22933,39.60811756,0.7242,3700,Industrial,Services,,,,,,,
CLBK,"Columbia Financial, Inc.",17.49,-0.68143101,-0.12,Sell,889553,1867743012.23343,22.23788772,0.7802,628,Finance,,,,,,,,,,
CLBS,"Caladrius Biosciences, Inc.",1.23,-0.80645161,-0.01,Sell,991123,73206472.5737705,,-0.8534,24,Distribution,Services,,,,,,,,,
CLBT,Cellebrite,DI,Ltd.,12.44,27.98353909,2.72,Strong,Buy,1592573,2995857178.71795,,-0.2877,2,Finance,,,,,,,
CLDR,"Cloudera, Inc.",15.935,0.09422111,0.015,Buy,9778805,4720216693.62304,,-0.4762,2728,Technology,Services,,,,,,,,,
CLDT,Chatham,Lodging,Trust,(REIT),12.13,4.20962199,0.49,Neutral,1298945,590935158,,-0.5766,23,Finance,,,,,,,
CLDX,"Celldex Therapeutics, Inc.",52.83,-3.0997799,-1.69,Buy,1472214,2455635672.33152,,-1.6705,125,Health,Technology,,,,,,,,,
CLEU,China,Liberal,Education,Holdings,Limited,2.87,-6.51465798,-0.2,Sell,24726403,18176665.9632353,14.24829754,0.1909,41,Commercial,Services,,,,,
CLF,Cleveland-Cliffs,Inc.,23.1499,-0.81448158,-0.1901,Buy,72282001,11568813047.9953,15.10498688,1.7714,25000,Non-Energy,Minerals,,,,,,,,
CLFD,"Clearfield, Inc.",44.83,0.56078959,0.25,Buy,211726,616078314.754862,38.12068966,1.1636,460,Electronic,Technology,,,,,,,,,
CLH,"Clean Harbors, Inc.",99.78,-0.97260818,-0.98,Buy,854974,5428292437.87894,30.40579273,3.3304,13500,Industrial,Services,,,,,,,,,
CLI,Mack-Cali,Realty,Corporation,16.84,1.8753781,0.31,Neutral,2019572,1520619850,,-1.3984,256,Finance,,,,,,,,
CLIR,ClearSign,Technologies,Corporation,2.18,-3.53982301,-0.08,Sell,384669,68631746.3766816,,-0.2612,15,Electronic,Technology,,,,,,,
CLMT,"Calumet Specialty Products Partners, L.P.",7.3576,-4.19791667,-0.3224,Buy,1228562,578868446.10453,,-4.5186,1400,Process,Industries,,,,,,,,,
CLNE,Clean,Energy,Fuels,Corp.,8.295,5.80357143,0.455,Buy,19736801,1849719884.25,,-0.4452,465,Utilities,,,,,,,
CLNN,Clene,Inc.,7.65,1.32450331,0.1,Sell,358408,470414172.718708,,,,Health,Technology,,,,,,,,
CLOV,"Clover Health Investments, Corp.",8.125,-5.41327125,-0.465,Sell,74425171,3476159427.70808,,-0.9615,458,Finance,,,,,,,,,,
CLPS,CLPS,Incorporation,3.02,-8.20668693,-0.27,Strong,Sell,191662,57452768,8.98274836,0.3367,2746,Technology,Services,,,,,,,
CLPT,ClearPoint,Neuro,Inc.,18.65,-1.2705135,-0.24,Neutral,738649,417140886.384872,,-0.4975,27,Health,Technology,,,,,,,
CLR,"Continental Resources, Inc.",43.249,12.07307593,4.659,Strong,Buy,8224492,15896280232.9224,41.15377195,1.0466,1201,Energy,Minerals,,,,,,,,
CLRB,"Cellectar Biosciences, Inc.",0.9951,-4.31730769,-0.0449,Sell,1342482,60801870.1215306,,-0.4744,11,Health,Technology,,,,,,,,,
CLRO,"ClearOne, Inc.",2.51,-7.72058824,-0.21,Sell,369848,47137252.0853658,51.25,0.0489,126,Electronic,Technology,,,,,,,,,
CLSD,"Clearside Biomedical, Inc.",6.445,-2.34848485,-0.155,Buy,1855381,383345804.223744,,-0.4312,33,Health,Technology,,,,,,,,,
CLSK,"CleanSpark, Inc.",12.62,-1.78988327,-0.23,Sell,2884773,449161834.648308,,-0.9415,62,Technology,Services,,,,,,,,,
CLSN,Celsion,Corporation,1.01,-5.60747664,-0.06,Strong,Sell,5552429,87423306.4174757,,-0.4598,27,Health,Technology,,,,,,,
CLVR,Clever,Leaves,Holdings,Inc.,8.54,-2.95454545,-0.26,Sell,325289,223247387.233333,,,477,Health,Technology,,,,,,
CLVS,"Clovis Oncology, Inc.",4.55,4.35779817,0.19,Sell,15711882,538764486.730337,,-3.1633,429,Health,Technology,,,,,,,,,
CLVT,Clarivate,Plc,24.05,1.26315789,0.3,Sell,17375931,15390840752.0946,,-0.6907,8690,Commercial,Services,,,,,,,,
CLW,Clearwater,Paper,Corporation,33.35,-1.59339038,-0.54,Neutral,638129,556522402.183686,144.1012441,0.2855,3340,Process,Industries,,,,,,,
CLWT,Euro,Tech,Holdings,Company,Limited,3.55,-0.56022409,-0.02,Neutral,217575,18299393.4129214,23.70173103,0.1502,45,Electronic,Technology,,,,,
CLX,Clorox,Company,(The),166.8,-1.69731259,-2.88,Strong,Sell,4888046,20485221494.5702,30.44316687,5.6485,9000,Retail,Trade,,,,,,
CLXT,"Calyxt, Inc.",3.45,-15.64792176,-0.64,Strong,Sell,559499,128584939.659401,,-1.0538,59,Commercial,Services,,,,,,,,
CMA,Comerica,Incorporated,74.37,2.15659341,1.57,Buy,6221106,9959902158.55644,9.515708,7.7725,7870,Finance,,,,,,,,,
CMAX,"CareMax, Inc.",9.91,5.31349628,0.5,Sell,2622533,803819758.169095,,-0.937,,Health,Services,,,,,,,,,
CMBM,Cambium,Networks,Corporation,36.27,5.43604651,1.87,Sell,560553,961481368.199162,21.20853081,1.8227,270,Communications,,,,,,,,
CMC,Commercial,Metals,Company,30.185,-2.47172859,-0.765,Neutral,2594835,3639906036.05747,11.4956142,2.7351,11297,Non-Energy,Minerals,,,,,,,
CMCM,Cheetah,Mobile,Inc.,1.81,-5.23560209,-0.1,Sell,964311,259567980,4.41001192,0.4207,1044,Technology,Services,,,,,,,
CMCO,Columbus,McKinnon,Corporation,43.615,-0.14880952,-0.065,Sell,334590,1238614156.63375,197.93072425,0.2321,2651,Producer,Manufacturing,,,,,,,
CMCSA,Comcast,Corporation,57.52,-3.00168634,-1.78,Neutral,115416584,264001692012.752,21.28931053,2.7166,168000,Consumer,Services,,,,,,,,
CMCT,CIM,Commercial,Trust,Corporation,6.54,-1.8018018,-0.12,Sell,476111,162650534,,-2.0851,4,Finance,,,,,,,
CME,CME,Group,Inc.,189.14,-0.03699593,-0.07,Sell,4880674,67927414769.867,35.29851304,5.3631,4370,Finance,,,,,,,,
CMG,"Chipotle Mexican Grill, Inc.",1909.75,0.45869871,8.72,Buy,967309,53654172348.3678,91.48585193,20.8911,88000,Consumer,Services,,,,,,,,,
CMI,Cummins,Inc.,229.98,-1.43151037,-3.34,Sell,2973206,33026775569.6962,15.75325897,15.0097,57825,Producer,Manufacturing,,,,,,,,
CMMB,Chemomab,Therapeutics,Ltd.,12.49,-11.03988604,-1.55,Strong,Sell,471187,143612322,,-0.5961,3,Health,Technology,,,,,,
CMO,Capstead,Mortgage,Corporation,6.915,0.50872093,0.035,Buy,1444424,668441405,9.85151342,0.7031,15,Finance,,,,,,,,
CMP,Compass,Minerals,Intl,Inc,67.4,1.4449127,0.96,Buy,1208370,2294209940.15783,,-4.0755,3229,Process,Industries,,,,,,
CMPR,Cimpress,plc,90.26,6.45123246,5.47,Sell,332453,2261380595.01975,,-2.9858,14000,Commercial,Services,,,,,,,,
CMPS,COMPASS,Pathways,Plc,-,American,Depository,Shares,32.89,-4.41732055,-1.52,Sell,1080443,1357183122,,-1.7784,,Health,Technology,,,
CMRE,Costamare,Inc.,16.325,0.33804548,0.055,Buy,3341224,2000196293.63499,11.21977723,1.4724,1804,Transportation,,,,,,,,,
CMRX,"Chimerix, Inc.",6.14,-8.63095238,-0.58,Sell,5520059,529573405.754386,,-1.7901,54,Health,Technology,,,,,,,,,
CMS,CMS,Energy,Corporation,62.7,-1.43059267,-0.91,Buy,7122699,18161320366.7675,20.09021402,3.1346,9345,Utilities,,,,,,,,
CMTL,Comtech,Telecommunications,Corp.,25.76,3.49537967,0.87,Buy,433409,671537313.427673,,-3.1506,2034,Electronic,Technology,,,,,,,
CNA,CNA,Financial,Corporation,43.26,1.98019802,0.84,Neutral,510489,11738709190.7457,9.27334313,4.7092,5800,Finance,,,,,,,,
CNC,Centene,Corporation,61.59,3.11401306,1.86,Sell,14070417,35909654659.4316,50.79116532,1.2428,71300,Health,Services,,,,,,,,
CNCE,"Concert Pharmaceuticals, Inc.",3.32,-0.89552239,-0.03,Sell,300655,106816945.750725,,-1.7942,71,Health,Technology,,,,,,,,,
CND,Concord,Acquisition,Corp.,10.21,-0.19550342,-0.02,Neutral,667883,359922913.027317,,-0.0866,2,Finance,,,,,,,,
CNDT,Conduent,Incorporated,6.705,-0.14892033,-0.01,Sell,5326360,1425825219.61869,,-0.1286,63000,Commercial,Services,,,,,,,,
CNET,ZW,Data,Action,Technologies,Inc.,1.34,-2.18978102,-0.03,Sell,499799,47345786.4705882,,-0.1728,,Commercial,Services,,,,,
CNFR,"Conifer Holdings, Inc.",2.9301,-7.56782334,-0.2399,Strong,Sell,99508,28390970.2957235,6.36382239,0.4887,148,Finance,,,,,,,,,
CNK,"Cinemark Holdings, Inc.",18.015,6.97743468,1.175,Sell,14003911,2155082748.65047,,-6.2001,18000,Consumer,Services,,,,,,,,,
CNMD,CONMED,Corporation,131.22,6.7089534,8.25,Buy,795837,3826754825.84102,72.79741306,1.8761,3400,Health,Technology,,,,,,,,
CNNE,"Cannae Holdings, Inc.",31.47,-0.12694383,-0.04,Sell,2059872,2798528230.08598,4.75027881,6.6549,14509,Finance,,,,,,,,,,
CNO,"CNO Financial Group, Inc.",23.73,1.84549356,0.43,Buy,2846711,3032437159.34578,7.07226591,3.42,3400,Finance,,,,,,,,,,
CNOB,"ConnectOne Bancorp, Inc.",28.75,1.3751763,0.39,Buy,388735,1144100967.11216,9.89147715,2.904,413,Finance,,,,,,,,,,
CNP,"CenterPoint Energy, Inc (Holding Co)",24.755,-5.58733791,-1.465,Neutral,19424382,15566623851.2004,18.93196561,1.3431,12984,Utilities,,,,,,,,,,
CNR,"Cornerstone Building Brands, Inc.",15.6,-5.10948905,-0.84,Neutral,1894961,1966395868.04801,50.94946894,0.3116,20230,Producer,Manufacturing,,,,,,,,,
CNSL,"Consolidated Communications Holdings, Inc.",8.81,-2.43632337,-0.22,Buy,1360904,870024393.246885,,-1.4175,3200,Communications,,,,,,,,,,
CNSP,"CNS Pharmaceuticals, Inc.",1.53,0,0,Sell,480931,42014923.316129,,-0.5956,5,Health,Technology,,,,,,,,,
CNTY,"Century Casinos, Inc.",12.55,-6.41312453,-0.86,Neutral,456422,371276881.588281,24.77081742,0.5375,2076,Consumer,Services,,,,,,,,,
CNX,CNX,Resources,Corporation,12.08,2.5466893,0.3,Sell,9773474,2632486015.8782,,-1.3144,451,Energy,Minerals,,,,,,,
CNXC,Concentrix,Corporation,172.58,0.12763982,0.22,Buy,323898,9011557655.52608,,,270000,Commercial,Services,,,,,,,,
CO,Global,Cord,Blood,Corporation,4.64,-3.93374741,-0.19,Sell,146378,563996998.852391,7.55102041,0.637,1215,Health,Services,,,,,,
COCP,"Cocrystal Pharma, Inc.",1.055,-3.21100917,-0.035,Strong,Sell,2736042,102829534.235849,,-0.1499,,Health,Technology,,,,,,,,
CODI,D/B/A,Compass,Diversified,Holdings,Shares,of,Beneficial,Interest,30.02,-1.37976347,-0.42,Buy,879959,1948297992.02921,,-0.3037,3987,Finance,,,
CODX,"Co-Diagnostics, Inc.",9.81,-7.2778828,-0.77,Sell,2237704,283409829.725957,6.15022578,1.624,37,Health,Technology,,,,,,,,,
COE,China,Online,Education,Group,2.85,-12.57668712,-0.41,Sell,2421058,62362507,4.35435435,0.7099,2479,Technology,Services,,,,,,
COF,Capital,One,Financial,Corporation,160.56,3.21419388,5,Buy,12320754,71628028486.6906,6.34125708,25.132,51985,Finance,,,,,,,
COG,Cabot,Oil,&,Gas,Corporation,19.325,5.48580786,1.005,Buy,42177683,7723510190.09635,29.31338028,0.6845,503,Energy,Minerals,,,,,
COGT,"Cogent Biosciences, Inc.",8.14,-3.32541568,-0.28,Neutral,184898,312659566.676471,,-11.9042,15,Health,Technology,,,,,,,,,
COHN,Cohen,&,Company,Inc.,20.07,-5.28551203,-1.12,Sell,74430,32599478.4516456,1.16028364,25.8836,87,Finance,,,,,,,
COHR,"Coherent, Inc.",253.79,0.72230821,1.82,Buy,479027,6226792400.91187,,-4.9249,4875,Electronic,Technology,,,,,,,,,
COHU,"Cohu, Inc.",34.2,-0.63916328,-0.22,Sell,1095348,1662018418.22957,12.49446984,2.7838,3250,Electronic,Technology,,,,,,,,,
COIN,"Coinbase Global, Inc.",241.9,-2.58537371,-6.42,Strong,Sell,10995976,51023715232.8846,24.03615102,10.2791,1249,Technology,Services,,,,,,,,
COLB,"Columbia Banking System, Inc.",33.25,-1.21806298,-0.41,Sell,932140,2386260380.16776,11.3187074,2.9551,2187,Finance,,,,,,,,,,
COLD,Americold,Realty,Trust,35.43,0.36827195,0.13,Sell,4895382,9218696969,,-0.2629,16300,Finance,,,,,,,,
COLL,"Collegium Pharmaceutical, Inc.",19.84,0.7106599,0.14,Sell,775069,705598998.686808,7.37905923,3.0394,234,Health,Technology,,,,,,,,,
COLM,Columbia,Sportswear,Company,101.785,-0.91988708,-0.945,Neutral,1187504,6714453757.11558,26.50003922,3.8498,7275,Consumer,Non-Durables,,,,,,,
COMM,"CommScope Holding Company, Inc.",14.775,2.10780926,0.305,Sell,7439269,3017082614.38398,,-1.9927,30000,Electronic,Technology,,,,,,,,,
COMP,"Compass, Inc.",13.78,-3.7037037,-0.53,Strong,Sell,2767208,6275203520.04188,,-0.6924,2702,Technology,Services,,,,,,,,
COMS,ComSovereign,Holding,Corp.,1.82,-1.08695652,-0.02,Sell,402702,132011609.068182,,-0.8875,109,Electronic,Technology,,,,,,,
CONE,CyrusOne,Inc,76.91,-0.12985327,-0.1,Buy,2177098,9517179523,1402.9250457,0.0551,441,Finance,,,,,,,,,
CONN,"Conn's, Inc.",23.65,2.73675065,0.63,Buy,1097670,697276274.386792,6.06786012,3.9202,4260,Retail,Trade,,,,,,,,,
CONX,CONX,Corp.,9.7941,0.24667349,0.0241,Neutral,216260,918392742.00903,131.89771198,0.0743,,Finance,,,,,,,,,
COO,"The Cooper Companies, Inc.",443.225,-1.80233073,-8.135,Buy,741439,21852804606.3352,7.58887767,59.3251,12000,Health,Technology,,,,,,,,,
COOP,Mr.,Cooper,Group,Inc.,40.411,-2.12884476,-0.879,Buy,3849954,3481349893.90815,2.70885043,15.6182,9800,Finance,,,,,,,
COP,ConocoPhillips,59.36,6.51354746,3.63,Strong,Buy,33132650,79487916211.857,51.0367375,1.1689,9700,Energy,Minerals,,,,,,,,
COR,CoreSite,Realty,Corporation,150.03,1.5225335,2.25,Buy,745963,6590972868,72.39972808,2.0662,481,Finance,,,,,,,,
CORR,"CorEnergy Infrastructure Trust, Inc.",4.67,2.4122807,0.11,Sell,214154,68962153,,-2.0302,138,Finance,,,,,,,,,,
CORT,Corcept,Therapeutics,Incorporated,20.52,-2.74881517,-0.58,Sell,1695713,2378814601.37445,26.59809921,0.8393,236,Health,Technology,,,,,,,
COST,Costco,Wholesale,Corporation,461.265,-0.83734629,-3.895,Buy,5647227,203911004489.751,43.3134971,10.6687,273000,Retail,Trade,,,,,,,
COTY,Coty,Inc.,8.35,1.45808019,0.12,Sell,31298987,6396648769.74435,,-0.0742,11430,Consumer,Non-Durables,,,,,,,,
COUP,Coupa,Software,Incorporated,247.0799,-0.22617509,-0.5601,Neutral,3341470,18298595133.0275,,-4.3539,2615,Technology,Services,,,,,,,
COUR,"Coursera, Inc.",37.96,0.98430434,0.37,Sell,7057274,5228733752.52302,,-0.7801,779,Technology,Services,,,,,,,,,
COWN,Cowen,Inc.,34.95,-0.08576329,-0.03,Neutral,1259302,1014099809.57686,3.76104279,10.9817,1364,Finance,,,,,,,,,
CPA,"Copa Holdings, S.A. Copa Holdings, S.A.",79.88,5.28535653,4.01,Buy,585700,3393620844.45682,,-8.691,5667,Transportation,,,,,,,,,,
CPB,Campbell,Soup,Company,43.66,1.18192352,0.51,Sell,11259575,13231229087.3482,13.35640348,3.3103,,Consumer,Non-Durables,,,,,,,
CPE,Callon,Petroleum,Company,38.13,15.33575318,5.07,Buy,7040640,1765061131.31582,,-31.9646,303,Energy,Minerals,,,,,,,
CPF,Central,Pacific,Financial,Corp,New,23.87,1.79104478,0.42,Sell,371879,673584177.359125,12.06739064,1.984,822,Finance,,,,,,
CPHI,"China Pharma Holdings, Inc.",0.635,-5.2238806,-0.035,Sell,719464,27673020.1019608,,-0.0858,248,Health,Technology,,,,,,,,,
CPLG,CorePoint,Lodging,Inc.,15.15,5.64853556,0.81,Strong,Buy,755006,882230357,,-0.9358,32,Finance,,,,,,,
CPNG,"Coupang, Inc.",29.35,-2.10140093,-0.63,Sell,52639414,50939425047.7799,,,,Retail,Trade,,,,,,,,,
CPRI,Capri,Holdings,Limited,53.41,-1.18408881,-0.64,Neutral,6102268,8119092737.20004,23.70143243,2.235,13800,Retail,Trade,,,,,,,
CPRT,"Copart, Inc.",152.03,6.14396425,8.8,Strong,Buy,4732305,35967030927.9705,38.25251695,3.9633,,Commercial,Services,,,,,,,,
CPRX,"Catalyst Pharmaceuticals, Inc.",4.95,-1.19760479,-0.06,Neutral,2777070,509743387.89,7.13673994,0.7205,74,Health,Technology,,,,,,,,,
CPS,Cooper-Standard,Holdings,Inc.,22.9408,5.37804318,1.1708,Sell,340244,389745340.691385,,-7.0794,25000,Producer,Manufacturing,,,,,,,
